id,name,tagline,hackathon_name,sponsor_tech,built_with,is_winner,prize_text,likes,comments,domain,url,score_total,c1_sponsor_legibility,c2_concrete_action,c3_visible_memory,c4_personal_hook,c5_distinctiveness,c6_agent_orchestration,c7_demo_polish
53,Ambient Life Agent,"Imagine a pocket-size Chief-of-Staff that listens when you speak, watches what you snap, and remembers everything you forget.",MCP - AWS - Enterprise Agents Challenge,strands,"bedrock,fastapi,nuxt,python,snowflake,strands,tavily",1,Winner Best Use of Snowflake,2,,Personal chief-of-staff agent - near-identical concept to target hackathon's own pitch,https://devpost.com/software/ambient-life-agent,69,18,4,15,10,17,0,5
41,Project Memoria: The Dementia Assistant,"Helps dementia patients recall conversations, find lost objects, and get grounded answers with an Amazon Nova-powered agentic memory system.",Amazon Nova AI Hackathon,strands,"chromadb,fastapi,gemini,javascript,mongodb,nova,opencv,pillow,pyaudio,python,strands,yolo",1,Winner Best of Multimodal Understanding,17,2,Personal memory agent (elder/health) - closest analog to target hackathon,https://devpost.com/software/project-memoria-the-dementia-assistant,67,12,10,15,10,17,0,3
69,Info-Ninja,Multi-Agent Competitive Intelligence Platform for Businesses.,MCP - AI Agents Hackathon,brightdata+strands,"apis,bright-data,cloud-services,databases,frameworks,gemini,llamaindex,platforms,python,react,redis,typescript,vite",1,Winner Best Use of Bright Data's MCP for Web Access in AI Agents (3rd overall),1,0,Business intelligence multi-agent - ONLY confirmed 2-sponsor-tech overlap (Bright Data + Strands mentioned) in whole dataset,https://devpost.com/software/info-ninja,66,25,10,0,3,17,10,1
30,Quorum (formerly RingFence),The money laundering ring your rules missed in 90 days - Quorum finds in 90 seconds.,vibeFORWARD: M2-Agents,cognee,"cognee,geodo,pymc,python",1,Winner 1st Runner-Up; Winner Best use of Geodo,,,Fraud/AML multi-agent,https://devpost.com/software/ringfence,64,18,18,0,10,17,0,1
15,Mimir,Memory for the modern researcher,Build the Future with AI - From Code to No-Code,cognee,"cognee,convex,nextjs,open-router,tailwind,three.js,vercel",1,Winner Best UI/UX,2,0,Research tools / knowledge graph viz,https://devpost.com/software/mimir-2zegvf,58,12,10,15,3,17,0,1
23,RingSight,"A 4-agent fraud investigation tool that finds hidden account networks, ranks risky cases, recommends actions, generates analyst-ready reports.",vibeFORWARD: M2-Agents,cognee,"cognee,geodo,gpt-4o,graphology,kaggle-benchmark-data,next.js,papa-parse,react,react-flow,tailwind-css,trupeer,typescript",1,Winner Best use of Trupeer (special prize),,,Fraud/AML multi-agent,https://devpost.com/software/ringsight,55,18,10,0,3,9,10,5
55,TongueKeeper,"Every 2 weeks, a language dies. Autonomous AI agents compile and cross-reference vocabulary/grammar from scattered sources.",TreeHacks 2026,brightdata,"anthropic-claude-api,brightdata-mcp,browserbase-stagehand,cheerio,cloudflare,d3.js,elasticsearch,express,framer-motion,heygen,jina-ai,leaflet.js,nextjs,nodejs,perplexity-sonar-api,python-fastapi,radix-ui,railway,react,react-force-graph-2d,recharts,shadcn-ui,socketio,tailwind,tanstack-table,typescript,vercel,whisper,zod",1,Winner Best Use of Perplexity's Sonar API,1,0,Culture/knowledge preservation agent,https://devpost.com/software/tonguekeeper,55,18,4,8,3,17,0,5
33,ETA,What's your ETA? ~ NewJeans,YHack Spring 2026,cognee,"Cognee,CSS,Gemini GCP,HTML,Java,K2 Think V2,Python,REST API,TypeScript",0,,,,Productivity agent,https://devpost.com/software/eta-3249uj,54,12,4,0,10,17,10,1
49,GuardianEye,The Guardian for Real-Time Elderly Emergency Response.,StormHacks 2025,strands,"CSS,FastAPI,Figma,Gemini,GitHub,MCP,MediaPipe,React,Strands Agents,Twilio,TypeScript,YOLOv8",1,Winner BluePrint Social Good Track,8,1,Personal safety/elder-care agent,https://devpost.com/software/guardianeye,54,12,10,0,10,17,0,5
17,Fraud Finder,"7 AI agents found a hidden fraud ring inside 5,000 transactions - including a sleeper account no rule would ever flag. SAR report in 3 minutes.",vibeFORWARD: M2-Agents,cognee,"cognee,react,truper",0,,,,Fraud/AML multi-agent,https://devpost.com/software/fraud-finder,53,12,18,0,3,9,10,1
